idx,current_agent_name,best_agent_name,date,learning_rate,batch_size,round_num,play_num,train_epoch,train_buffer_size,PNN_loss,VNN_loss,train_loss,val_PNN_loss,val_VNN_loss,val_loss,win_num,lose_num,draw_num
1,0_0_80_7_20_11_15,0_0_80_7_20_11_15,7_20_11_17,0.001,32,2,80,1,5037,3.557659626,0.828555644,5.411425591,4.403160572,1.014050722,6.442366123,6,10,0
2,1_0_160_7_20_11_17,0_0_80_7_20_11_15,7_20_11_24,0.001,32,2,80,1,10366,2.589287519,0.769927502,4.384186745,2.59521389,0.898869693,4.518806934,13,3,0
3,2_160_240_7_20_11_24,2_160_240_7_20_11_24,7_20_11_32,0.001,32,2,80,1,14950,2.392827988,0.794695079,4.211990833,2.387720108,0.87028712,4.282184601,2,14,0
4,3_160_320_7_20_11_32,2_160_240_7_20_11_24,7_20_11_40,0.001,32,2,80,1,19713,2.190416098,0.839292347,4.05354929,2.274341822,0.978663981,4.276500702,4,12,0
5,4_160_400_7_20_11_40,2_160_240_7_20_11_24,7_20_11_53,0.001,32,2,80,1,24667,2.059533119,0.850776732,3.933434248,2.207719088,0.963096619,4.193539619,4,12,0
6,5_160_480_7_20_11_53,2_160_240_7_20_11_24,7_20_12_10,0.001,32,2,80,1,29595,2.107965469,0.852573693,3.982879877,2.120372057,1.020368099,4.162680626,6,10,0
7,6_160_560_7_20_12_10,2_160_240_7_20_11_24,7_20_12_18,0.001,32,2,80,1,34493,1.958104491,0.854831398,3.834468126,2.098862171,0.99935323,4.119331837,2,14,0
8,7_160_640_7_20_12_18,2_160_240_7_20_11_24,7_20_12_30,0.001,32,2,80,1,39413,1.91205585,0.85499692,3.78773737,2.083280563,0.987990856,4.091507912,9,7,0
9,8_640_720_7_20_12_30,8_640_720_7_20_12_30,7_20_12_47,0.001,32,2,80,1,44035,1.893613577,0.832296729,3.745715141,1.995343208,1.049651027,4.064357281,6,10,0
10,9_640_800_7_20_12_47,8_640_720_7_20_12_30,7_20_12_54,0.001,32,2,80,1,48613,1.789598107,0.834908485,3.643418312,1.995054364,1.032222748,4.04571867,8,8,0
